campsites,year
"BC(08/04,5200m),ABC(12/04,6700m),C1(16/04,7300m),C2(03/05,7900m),Smt(21/05)",2003
"BC(14/04,5200m),ABC(22/04,6400m),C1(24/04,7100m),C2(20/05,7800m),C3(21/05,8300m),Smt(22/05)",2003
"BC(12/04,5200m),ABC(17/04,6400m),C1(27/04,7050m),C2(05/05,7600m),C3(18/05,8300m),Smt(22/05)",2003
"BC(31/03),ABC(09/04,6400m),C1(21/04,7000m),C2(19/05,7800m),C3(20/05,8200m),Smt(21/05)",2003
"BC(07/04,5180m),ABC(14/04,6400m),C1(23/04,7000m),C2(19/05,7700m),C3(20/05,8300m),Smt(20-21/05)",2003
"BC(15/04,5200m),ABC(22/04,6400m),C1(27/04,7000m),C2(20/05,7700m),C3(21/05,8300m),Smt(22/05)",2003
"BC(21/04,5200m),ABC(27/04,6400m),C1(07/05,7000m),C2(18/05,7700m),C3(21/05,8300m),Smt(22/05)",2003
"BC(29/03,5200m),ABC(02/04,6400m),C1(17/04,7050m),C2(01/05,7600m),C3(22/05,7800m),C4(21/05,8300m),Smt(21/05)",2003
"BC(08/04,5100m),ABC(19/04,6300m),C1(22/04,7000m),C2(18/05,7800m),C3(19/05,8300m),Smt(20,22/05)",2003
"BC(10/04),ABC(28/04,6430m),C1(01/05,7000m),C2(07/05,7700m),C3(10/05,8200m),Smt(21/05)",2003
"BC(08/04,5170m),ABC(12/04,6400m),C1(21/04,7060m),C2(10/05,7750m),C3(21/05,8300m),Smt(22/05)",2003
"BC(07/04,5200m),ABC(11/04,6400m),C1(01/05,7000m),C2(20/05,7700m),C3(21/05,8200m),Smt(22,31/05)",2003
"BC(23/03,05-06/04),ABC(09/04,6500m),C1(25/04,7000m),C2(26/04,7790m),C3(20/05,8300m),Smt(21-22/05)",2003
"BC(05/04,5200m),ABC(09/04,6400m),C1(20/04,7000m),C2(06/05,7400m),C3(07/05,7900m),C4(19/05,8350m),Smt(20/05)",2004
"BC(14/04),ABC(14/04,6400m),C1(26/04,7050m),C2(16/05,7900m),C3(17/05,8300m),Smt(18/05)",2004
"BC(10/04),ABC(17/04,6400m),C1(29/04,7000m),C2(15/05,7700m),C3(16/05,8300m),Smt(17/05)",2004
"BC(08/04,5100m),ABC(14/04,6400m),C1(23/04,7000m),C2(07/05,7700m),C3(17/05,8300m),Smt(18,20/05)",2004
"BC(08/04),ABC(21/04,6400m),C1(25/04,7070m),C2(09/05,7800m),C3(17/05,8250m),Smt(18-20/05)",2004
"BC(12/04,5250m),IC(12/04,5800m),ABC(16/04,6400m),C1(19/04,7000m),C2(06/05,7500m),C3(17/05,7900m),Smt(17/05)",2004
"BC(12/04,5250m),IC(16/04,5800m),ABC(17/04,6400m),C1(21/04,7000m),C2(07/05,7500m),C3(17/05,8300m),Smt(18/05)",2004
"BC(07/04),ABC(14/04,6400m),C1(18/04,7000m),C2(21/05,7700m),C3(26/05,8300m),Smt(27/05)",2004
"BC(12/04),ABC(19/04,6400m),C1(01/05,7000m),C2(16/05,7900m),Smt(17/05)",2004
"BC(04/04),ABC(16/04,6400m),C1(17/05,7000m),C2(18/05,7900m),C3(19/05,8200m),Smt(20/05)",2004
"BC(03/04,5200m),ABC(08/04,6400m),C1(15/04,7050m),C2(16/05,7900m),C3(17/05,8300m),Smt(20/05)",2004
"BC(21/03),ABC(15/04,6450m),C1(23/04,7050m),C2(15/05,7900m),C3(17/05,8300m),Smt(18-19/05)",2004
"BC(25/04,5200m),ABC(03/05,6400m),C1(17/05,7000m),C2(18/05,7800m),C3(19/05,8200m),Smt(20/05)",2004
"BC(19/04),ABC(25/04,6300m),C1(07/05,7000m),C2(18/05,7750m),C3(19/05,8300m),Smt(20/05)",2004
"BC(05/04),ABC(10/04,6400m),C1(22/04,7000m),C2(17/05,7800m),C3(18/05,8300m),Smt(20/05)",2004
"BC(14/04),ABC(20/04,6100m),C1(29/04,7000m),C2(05/05,7900m),C3(18/05,8200m),Smt(20/05)",2004
"BC(11/04,5182m),ABC(18/04,6492m),C1(06/05,7010m),C2(17/05,7803m),C3(18/05,8291m),Smt(19/05)",2004
"BC(11/04),ABC(16/04,7000m),C1(29/04,7000m),C2(18/05,7900m),C3(19/05,8300m),Smt(20/05)",2004
"BC(05/04),ABC(10/04,6400m),C1(21/04,7000m),C2(16/05,7900m),C3(17/05,8200m),Smt(18/05)",2004
"BC(07/04,5200m),ABC(11/04,6400m),C1(15/04,7000m),C2(20/05,7500m),C3(21/05,7900m),C4(22/05,6300m),Smt(23-24/05)",2004
"BC(13-Sherpas,14/04,5400m),ABC(18/04,6400m),C1(20-Sherpas,20/04,7050m),C1(22-members,22/04,7050m),C2(01/05,7600m),C3(17/05,8300m),Smt(18,20,27,29/05)",2004
